Txn No.,Txn Date,Description,Branch Name,Cheque No.,Dr Amount,Cr Amount,Balance,KIMS Remarks
S81074345,01-12-2024,"IMPS-
IN/433609130022/981
2063048/LORA ENG",-,,,"84,759.00","14,73,65,043.
56 Dr.",
S12741487,01-12-2024,"NRTGS/YESBR1202
4120100003221/DEL
HI TUBES AND
PIPES",-,,,"25,00,000.00","14,48,65,043.
56 Dr.",
S22333815,01-12-2024,"NEFT_IN:SBIN42433
6255671/0045/
GUPTA HARDWARE
STORE PVT LTD",-,,,"2,63,000.00","14,46,02,043.
56 Dr.",
S26901492,02-12-2024,"NRTGS/YESBR1202
4120200005208/GOE
L RETAIL
PRODUCTS",-,,,"6,18,592.00","14,39,83,451.
56 Dr.",
S28488280,02-12-2024,"IMPS-
IN/433708137211/701
5869792/PROJECT",-,,,"2,50,000.00","14,37,33,451.
56 Dr.",
S31666157,02-12-2024,"NRTGS/KKBKR1202
4120200668686/Hars
h Enterprises",-,,,"8,24,457.00","14,29,08,994.
56 Dr.",
S34693753,02-12-2024,"NRTGS/BARBR5202
4120200928391/PRU
DVI INDUSTRIES",-,,,"17,25,000.00","14,11,83,994.
56 Dr.",
S37807252,02-12-2024,"BILLDESK/ZCPNXZO
07E8I9W/518306824
4/L No. 8606 BIS",-,,"56,651.80",,"14,12,40,646.
36 Dr.",
S39064955,02-12-2024,"NEFT_IN:N33724342
7702896/0023/
MANSINGHKA
STORES",-,,,"26,76,364.00","13,85,64,282.
36 Dr.",
S39733409,02-12-2024,"NRTGS/HDFCR5202
4120266707664/ISHA
TUBES AND
STRUCT",-,,,"19,67,672.00","13,65,96,610.
36 Dr.",
S41389860,02-12-2024,"NRTGS/IDFBR52024
120200344352/GANE
SH TUBE
CORPORATI",-,,,"34,12,476.00","13,31,84,134.
36 Dr.",
S41587404,02-12-2024,"NRTGS/ICICR520241
20200422700/HARC
OMP AIRFLEX
PRIVA",-,,,"41,54,688.00","12,90,29,446.
36 Dr.",
S43124187,02-12-2024,"NRTGS/HDFCR5202
4120266817605/VAR
DHMAN STEEL
COMPAN",-,,,"23,88,129.00","12,66,41,317.
36 Dr.",
S44774854,02-12-2024,"NRTGS/UTIBR62024
120286512102/BANS
AL STEELS",-,,,"10,25,000.00","12,56,16,317.
36 Dr.",
S45105674,02-12-2024,"IMPS-
IN/433769145379/932
4143357/VIKRAM A",-,,,"5,00,000.00","12,51,16,317.
36 Dr.",
S45149386,02-12-2024,"NRTGS/CNRBR5202
4120294283768/SRE
EVATSA TUBES
PRIVA",-,,,"2,61,454.00","12,48,54,863.
36 Dr.",
S45912081,02-12-2024,"IMPS-
IN/433713141340/935
0907700/AGGARWA
L",-,,,"9,063.00","12,48,45,800.
36 Dr.",
S46129654,02-12-2024,"NRTGS/HDFCR5202
4120266746234/SHIB
DASS   SONS PRIV",-,,,"12,72,172.00","12,35,73,628.
36 Dr.",
S46873822,02-12-2024,"NRTGS/HDFCR5202
4120266749026/PRA
MANLALANDCO",-,,,"8,68,835.00","12,27,04,793.
36 Dr.",
S47753603,02-12-2024,"NRTGS/UTIBR52024
120200357757/VIJAY
SALES CORPORATI",-,,,"17,11,187.00","12,09,93,606.
36 Dr.",
S47801380,02-12-2024,"NRTGS/HDFCR5202
4120266850588/SHRI
VARDHMAN TUBE
CO",-,,,"4,18,216.00","12,05,75,390.
36 Dr.",
S48173656,02-12-2024,"NRTGS/HDFCR5202
4120266778117/SHRI
VARDHMAN TUBE
CO",-,,,"2,99,451.00","12,02,75,939.
36 Dr.",
S50198923,02-12-2024,"NRTGS/KKBKR2202
4120214935271/AJA
Y PIPE COMPANY",-,,,"15,00,000.00","11,87,75,939.
36 Dr.",
S50217157,02-12-2024,"NRTGS/HDFCR5202
4120266759870/VOR
A AND CO",-,,,"16,37,273.00","11,71,38,666.
36 Dr.",
M1331679,02-12-2024,BRL LOGISTICS,-,,,"2,50,000.00","11,68,88,666.
36 Dr.",
S51949160,02-12-2024,"NRTGS/UTIBR72024
120200034202/JINDA
L SAW LIMITED-EX",-,,,"2,33,928.00","11,66,54,738.
36 Dr.",
S52163254,02-12-2024,"NRTGS/HDFCR5202
4120266862999/BOM
BAY HARDWARE
PRIVA",-,,,"35,58,834.00","11,30,95,904.
36 Dr.",
S52184967,02-12-2024,"NRTGS/HDFCR5202
4120266892043/KHA
NDELWAL DECOR
WORL",-,,,"12,22,846.00","11,18,73,058.
36 Dr.",
M1444765,02-12-2024,"BY HINDUSTAN
DISTBUTORS
-302800","DELHI SECTOR 7
ROHINI",,,"6,00,000.00","11,12,73,058.
36 Dr.",
S53098348,02-12-2024,"NRTGS/KKBKR1202
4120200786875/Radh
ika Pipes Pvt Ltd",-,,,"47,45,947.00","10,65,27,111.
36 Dr.",
S53678331,02-12-2024,"NRTGS/JAKAR52024
120200002249/JVL
STEEL PRIVATE LIM",-,,,"42,36,905.00","10,22,90,206.
36 Dr.",
S54408308,02-12-2024,"NRTGS/HSBCR2202
4120227733613/MAH
ANAGAR GAS
LIMITED",-,,,"25,86,149.00","9,97,04,057.3
6 Dr.",
S54730344,02-12-2024,"NRTGS/KKBKR5202
4120200796033/ADI
PIPE AND FITTINGS",-,,,"31,33,944.00","9,65,70,113.3
6 Dr.",
S55742817,02-12-2024,"IMPS-
IN/433716724117/981
8048829/OMNIGARD",-,,,"50,000.00","9,65,20,113.3
6 Dr.",
S56771256,02-12-2024,"NRTGS/UBINR22024
120201381936/RAJE
NDRA STEEL TUBE",-,,,"2,85,534.00","9,62,34,579.3
6 Dr.",
S56828887,02-12-2024,"NRTGS/IDFBR52024
120200352183/BIND
AL PIPES PRIVATE",-,,,"15,00,000.00","9,47,34,579.3
6 Dr.",
S57067060,02-12-2024,"NRTGS/HDFCR5202
4120266869073/VINA
YAK PIPES AND TUB",-,,,"29,83,760.00","9,17,50,819.3
6 Dr.",
S58072815,02-12-2024,"NRTGS/ICICR220241
20206525120/JINDAL
STAINLESS LIMI",-,,,"6,21,302.65","9,11,29,516.7
1 Dr.",
S58350063,02-12-2024,"NRTGS/ICICR420241
20200553935/EXTIN
CT FIRE ENGINEER",-,,,"18,22,857.00","8,93,06,659.7
1 Dr.",
S59087976,02-12-2024,"NRTGS/YESBR1202
4120200024330/SHR
EE KARNI TRADERS
F",-,,,"2,00,000.00","8,91,06,659.7
1 Dr.",
S59133939,02-12-2024,"NRTGS/YESBR1202
4120200023920/SHR
EE KARNI TRADERS
F",-,,,"2,00,000.00","8,89,06,659.7
1 Dr.",
S59169183,02-12-2024,"NRTGS/CIUBR52024
120200408660/PION
EER TUBES",-,,,"50,00,000.00","8,39,06,659.7
1 Dr.",
S62280387,02-12-2024,"NRTGS/HDFCR5202
4120267042282/MAD
RAS STEELS AND
TUB",-,,,"1,44,29,485.0
0","6,94,77,174.7
1 Dr.",
S62355101,02-12-2024,"NRTGS/YESBR1202
4120200024863/JIND
AL INDUSTRIES PR",-,,,"1,75,00,000.0
0","5,19,77,174.7
1 Dr.",
S62559955,02-12-2024,"NRTGS/ICICR420241
20200563231/JINDAL
INDUSTRIES  PV",-,,,"16,11,100.00","5,03,66,074.7
1 Dr.",
S63527246,02-12-2024,"NEFT_IN:IOBAN2433
7260512/0033/
MALPANI COMPANY",-,,,"4,60,000.00","4,99,06,074.7
1 Dr.",
S65313671,02-12-2024,"NRTGS/HDFCR5202
4120267024081/SHR
EE GANESH TUBES
SU",-,,,"7,08,000.00","4,91,98,074.7
1 Dr.",
S69231194,02-12-2024,"NEFT_IN:N33724342
9219147/0036/
CONSORT
BUILDERS PVT LTD",-,,,"1,11,962.00","4,90,86,112.7
1 Dr.",
S69778620,02-12-2024,"NEFT_IN:N33724342
9153595/0035/
AMBIKA STEEL
PRODUCTS",-,,,"1,40,000.00","4,89,46,112.7
1 Dr.",
S71113506,02-12-2024,"NEFT_IN:384697894
71DC/0038/
R.B.STEELS",-,,,"86,400.00","4,88,59,712.7
1 Dr.",
S71555116,02-12-2024,"NRTGS/HDFCR5202
4120267006840/ABHI
SHEK SALES",-,,,"15,00,000.00","4,73,59,712.7
1 Dr.",
S72143750,02-12-2024,"NRTGS/UCBAR5202
4120200227354/FLO
WMECH
SOLUTIONS",-,,,"11,25,395.00","4,62,34,317.7
1 Dr.",
S74507459,02-12-2024,"NEFT_IN:SBIN12433
7011369/0045/
GUPTA HARDWARE
STORE PVT LTD",-,,,"2,47,000.00","4,59,87,317.7
1 Dr.",
S78995683,03-12-2024,"NRTGS/CBINR52024
120310000127/M S
PIPE DISTRIBUTOR",-,,,"20,43,769.00","4,39,43,548.7
1 Dr.",
S80010005,03-12-2024,"NRTGS/YESBR1202
4120300000233/GOE
L RETAIL
PRODUCTS",-,,,"25,02,240.00","4,14,41,308.7
1 Dr.",
S80774617,03-12-2024,"NRTGS/HDFCR5202
4120367027883/CHO
PDASTEELTUBEPVT
LTD",-,,,"2,50,000.00","4,11,91,308.7
1 Dr.",
S84701884,03-12-2024,"NRTGS/KKBKR1202
4120300915276/Hars
h Enterprises",-,,,"8,31,207.00","4,03,60,101.7
1 Dr.",
S85675760,03-12-2024,"IMPS-
IN/433869528687/932
4143357/VIKRAM A",-,,,"5,00,000.00","3,98,60,101.7
1 Dr.",
S87429776,03-12-2024,"NEFT_IN:N33824343
0131716/0022/ SHAM
PIPE AND IRON
STORE",-,,,"6,00,000.00","3,92,60,101.7
1 Dr.",
S87567795,03-12-2024,"NEFT_IN:INDBN0312
0621991/0022/ HVAC
SOLUTIONS",-,,,"1,28,885.00","3,91,31,216.7
1 Dr.",
S89074100,03-12-2024,"NRTGS/HDFCR5202
4120367104397/ISHA
TUBES AND
STRUCT",-,,,"14,72,327.00","3,76,58,889.7
1 Dr.",
S89214711,03-12-2024,"NEFT_IN:N33824343
0197692/0023/
MANSINGHKA
STORES",-,,,"21,51,071.00","3,55,07,818.7
1 Dr.",
S92191444,03-12-2024,"NEFT_IN:N33824343
0289728/0025/
BHARTI AIRTEL
LIMITED 14 NEW",-,,,"14,028.92","3,54,93,789.7
9 Dr.",
S93173015,03-12-2024,"NEFT_IN:N33824343
0354250/0025/
SIGMA STEELS",-,,,"1,50,000.00","3,53,43,789.7
9 Dr.",
S93711335,03-12-2024,"NRTGS/SBINR12024
120366997908/Pipe
Traders",-,,,"20,36,632.00","3,33,07,157.7
9 Dr.",
S93712921,03-12-2024,"NRTGS/SBINR12024
120366997874/Pipe
Traders",-,,,"5,28,742.00","3,27,78,415.7
9 Dr.",
S93713532,03-12-2024,"NRTGS/SBINR12024
120366997863/Pipe
Traders",-,,,"7,45,371.00","3,20,33,044.7
9 Dr.",
S93701019,03-12-2024,"NRTGS/SBINR12024
120366997864/Pipe
Traders",-,,,"12,38,673.00","3,07,94,371.7
9 Dr.",
S90515640,03-12-2024,"20020ILG004524:BG
Charges",-,,"2,655.99",,"3,07,97,027.7
8 Dr.",
S94519088,03-12-2024,"NRTGS/HDFCR5202
4120367118573/BOM
BAY HARDWARE
PRIVA",-,,,"22,77,930.00","2,85,19,097.7
8 Dr.",
S95635512,03-12-2024,"IMPS-
IN/433813768130/991
1406571/FIRE TEC",-,,,"1,27,973.00","2,83,91,124.7
8 Dr.",
S95714420,03-12-2024,"NEFT_IN:N33824343
0464961/0027/ E
AND C
INFRASTRUCTURE
PVT LTD",-,,,"50,000.00","2,83,41,124.7
8 Dr.",
S95793532,03-12-2024,"NRTGS/HDFCR5202
4120367187696/BOM
BAY HARDWARE
PRIVA",-,,,"15,71,630.00","2,67,69,494.7
8 Dr.",
S95957968,03-12-2024,"NEFT_IN:N33824343
0447575/0027/ E
AND C
INFRASTRUCTURE
PRIVATE LIMI",-,,,"50,000.00","2,67,19,494.7
8 Dr.",
S95971006,03-12-2024,"NRTGS/HDFCR5202
4120367240009/GOE
L HARDWARE",-,,,"9,85,000.00","2,57,34,494.7
8 Dr.",
S96437096,03-12-2024,"NRTGS/HDFCR5202
4120367149384/GOE
L HARDWARE",-,,,"9,75,000.00","2,47,59,494.7
8 Dr.",
S96788056,03-12-2024,"From:XXXX1464:RAJ
ESH STEELS",-,,,"1,20,000.00","2,46,39,494.7
8 Dr.",
S97763787,03-12-2024,"NRTGS/KKBKR2202
4120314953830/AJA
Y PIPE COMPANY",-,,,"16,70,000.00","2,29,69,494.7
8 Dr.",
S98228703,03-12-2024,"NRTGS/HDFCR5202
4120367270007/VAR
DHMAN STEELS",-,,,"4,83,505.00","2,24,85,989.7
8 Dr.",
S98637276,03-12-2024,"NEFT_IN:N33824343
0566174/0029/ SHRI
ANAND PIPE
CENTRE",-,,,"2,25,000.00","2,22,60,989.7
8 Dr.",
S98723885,03-12-2024,"NEFT_IN:KKBKH243
38987697/0029/ B R
LOGISTIC PARK",-,,,"20,00,000.00","2,02,60,989.7
8 Dr.",
S99135691,03-12-2024,"NRTGS/CNRBR5202
4120394363429/SHIB
DASS AND SONS PV",-,,,"12,67,466.00","1,89,93,523.7
8 Dr.",
S99144556,03-12-2024,"NEFT_IN:KKBKH243
38986690/0029/
Radhika Pipes Pvt Ltd",-,,,"49,03,409.00","1,40,90,114.7
8 Dr.",
S440064,03-12-2024,"NRTGS/INDBR32024
120300572132/SHRE
E MARUTINANDAN
TU",-,,,"19,28,335.00","1,21,61,779.7
8 Dr.",
S1278600,03-12-2024,"NRTGS/HDFCR5202
4120367244735/DEL
HI TUBES AND
PIPES",-,,,"14,35,327.00","1,07,26,452.7
8 Dr.",
S1771816,03-12-2024,"NEFT_IN:N33824343
0683669/0031/ SHRI
VARDHMAN TUBE
COMPANY P LTD",-,,,"1,25,145.00","1,06,01,307.7
8 Dr.",
S2194284,03-12-2024,"NRTGS/JAKAR52024
120300021247/JVL
STEEL PRIVATE LIM",-,,,"33,96,449.00","72,04,858.78
Dr.",
M1210170,03-12-2024,"SATYA NARIAN
AGGARWAL AND
SONS             -
333500","NARNAUL,COURT
ROAD",,,"2,00,000.00","70,04,858.78
Dr.",
S2523763,03-12-2024,"NEFT_IN:N33824343
0772471/0031/
SIGMA STEELS",-,,,"1,00,000.00","69,04,858.78
Dr.",
S2801678,03-12-2024,"NRTGS/SCBLR12024
120300810636/BHAR
AT TUBES
CORPORAT",-,,,"19,84,382.00","49,20,476.78
Dr.",
S2817179,03-12-2024,"NRTGS/BKIDR52024
120300653230/KAST
URI LAL RAJINDER",-,,,"10,00,000.00","39,20,476.78
Dr.",
S2950249,03-12-2024,"NRTGS/HDFCR5202
4120367229043/KHA
NDELWAL DECOR
WORL",-,,,"10,12,829.00","29,07,647.78
Dr.",
S3490625,03-12-2024,"IMPS-
IN/433816173965/701
5869792/PROJECT",-,,,"3,00,000.00","26,07,647.78
Dr.",
S3631996,03-12-2024,"IMPS-
IN/433816294781/809
6967918/PRUDVIIN",-,,,"3,10,500.00","22,97,147.78
Dr.",
S3748600,03-12-2024,"NEFT_IN:KKBKH243
38624678/0032/
SHREE HANUMAN
STEELS AND
STRUCTURES",-,,,"28,03,352.00","5,06,204.22
Cr.",
S5012390,03-12-2024,"From:XXXX5997:SUR
UBHI TRADING
CORPORATION",-,,,"1,00,00,000.0
0","1,05,06,204.2
2 Cr.",
S5287141,03-12-2024,"NRTGS/HDFCR5202
4120367331099/AGG
ARWAL TUBE
COMPANY",-,,,"9,90,000.00","1,14,96,204.2
2 Cr.",
M1347226,03-12-2024,"B.K. TRADERS
PROP
-749000","SUNDER
NAGAR,NARESH",,,"25,00,000.00","1,39,96,204.2
2 Cr.",
S6529279,03-12-2024,"NRTGS/ICICR420241
20300547052/METR
OO PIPES AND
TUBE",-,,,"9,92,668.00","1,49,88,872.2
2 Cr.",
S6719586,03-12-2024,"NRTGS/HDFCR5202
4120367362158/H S
D AND SONS",-,,,"4,50,000.00","1,54,38,872.2
2 Cr.",
S7512288,03-12-2024,"NEFT_IN:UCBAH243
38647766/0034/
DUNI CHAND
RADHEY SHYAM",-,,,"3,50,000.00","1,57,88,872.2
2 Cr.",
M1428465,03-12-2024,"MS PRABH DAYAL
OM PARKASH
-351300","JALLANDHAR,OLD
RAILWAY ROAD",,,"12,03,279.00","1,69,92,151.2
2 Cr.",
S9342598,03-12-2024,"NRTGS/SBINR52024
120367148422/MS
SHIV ENTERPRISES",-,,,"6,00,000.00","1,75,92,151.2
2 Cr.",
S9391190,03-12-2024,"NRTGS/SBINR12024
120367149921/B K
TRADERS",-,,,"25,00,000.00","2,00,92,151.2
2 Cr.",
S9856655,03-12-2024,"NRTGS/IDFBR52024
120300368181/BIND
AL PIPES PRIVATE",-,,,"10,00,000.00","2,10,92,151.2
2 Cr.",
S10503234,03-12-2024,"NRTGS/PUNBR5202
4120315637107/5183
289274/JSW Steel",-,,"2,00,00,000.0
0",,"10,92,151.22
Cr.",
S10534266,03-12-2024,"NRTGS/PUNBR5202
4120315637127/5183
289554/JSW Steel",-,,"1,37,46,206.0
0",,"1,26,54,054.7
8 Dr.",
S10572802,03-12-2024,"NRTGS/PUNBR5202
4120315637144/5183
289229/JSW BPSL",-,,"40,00,000.00",,"1,66,54,054.7
8 Dr.",
S10657652,03-12-2024,"NRTGS/PUNBR5202
4120315637192/5183
249731/STEEL AUTH",-,,"2,00,00,000.0
0",,"3,66,54,054.7
8 Dr.",
S10922498,03-12-2024,"IMPS-
IN/433817496002/701
5869792/PROJECT",-,,,"1,00,000.00","3,65,54,054.7
8 Dr.",
S11524343,03-12-2024,"IMPS-
IN/433818910772/809
6967918/PRUDVIIN",-,,,569.00,"3,65,53,485.7
8 Dr.",
S11775303,03-12-2024,"NRTGS/HDFCR5202
4120367336337/GOE
L HARDWARE",-,,,"6,58,061.00","3,58,95,424.7
8 Dr.",
S13284253,03-12-2024,"NRTGS/YESBR1202
4120300025097/JIND
AL INDUSTRIES PR",-,,,"75,00,000.00","2,83,95,424.7
8 Dr.",
S13992151,03-12-2024,"DBTRDecember/2867
917",-,,"9,000.00",,"2,84,04,424.7
8 Dr.",
S15146397,03-12-2024,"NRTGS/ICICR420241
20300559969/DURG
A ENTERPRISES",-,,,"25,00,000.00","2,59,04,424.7
8 Dr.",
S16255219,03-12-2024,"NEFT_IN:384816223
81DC/0038/ R S
TUBE INDUSTRIES",-,,,"6,59,480.00","2,52,44,944.7
8 Dr.",
S16484933,03-12-2024,"NEFT_IN:384816428
41DC/0038/ R S
TUBE INDUSTRIES",-,,,"3,83,635.00","2,48,61,309.7
8 Dr.",
S18116856,03-12-2024,"NRTGS/HDFCR5202
4120367386121/VOR
A AND CO",-,,,"16,35,348.00","2,32,25,961.7
8 Dr.",
S18132309,03-12-2024,"NRTGS/HDFCR5202
4120367339409/VOR
A AND CO",-,,,"21,10,339.00","2,11,15,622.7
8 Dr.",
S26456393,03-12-2024,"From:XXXX3561:GU
PTA HARDWARE
STORE PVT. LT",-,,,"1,09,000.00","2,10,06,622.7
8 Dr.",
S29917160,04-12-2024,"NRTGS/HDFCR5202
4120467389453/KRIS
HNA METAL AND
STE",-,,,"8,00,950.00","2,02,05,672.7
8 Dr.",
S33416174,04-12-2024,"NRTGS/AUBLR62024
120410514599/ASHO
K MALIK AND
COMPA",-,,,"10,00,000.00","1,92,05,672.7
8 Dr.",
S34158020,04-12-2024,"NRTGS/KKBKR1202
4120400742115/Hars
h Enterprises",-,,,"7,93,428.00","1,84,12,244.7
8 Dr.",
S34529680,04-12-2024,"NEFT_IN:KKBKH243
39741812/0019/
DEVINE
ENTERPRISES",-,,,"10,00,000.00","1,74,12,244.7
8 Dr.",
S35071776,04-12-2024,"NRTGS/PUNBR5202
4120415643421/5183
336461/STEEL AUTH",-,,"2,00,00,000.0
0",,"3,74,12,244.7
8 Dr.",
S35095394,04-12-2024,"NRTGS/PUNBR5202
4120415643432/5183
336378/STEEL AUTH",-,,"2,00,00,000.0
0",,"5,74,12,244.7
8 Dr.",
S35114617,04-12-2024,"NRTGS/PUNBR5202
4120415643438/5183
336362/STEEL AUTH",-,,"2,00,00,000.0
0",,"7,74,12,244.7
8 Dr.",
S35127857,04-12-2024,"NRTGS/PUNBR5202
4120415643448/5183
336348/STEEL AUTH",-,,"2,00,00,000.0
0",,"9,74,12,244.7
8 Dr.",
S35350485,04-12-2024,"NRTGS/HDFCR5202
4120467436644/ABHI
SHEK SALES",-,,,"15,00,000.00","9,59,12,244.7
8 Dr.",
S37709675,04-12-2024,"NRTGS/ICICR420241
20400506461/HIMSH
AKTHI POWER PRIV",-,,,"2,00,000.00","9,57,12,244.7
8 Dr.",
S41060092,04-12-2024,"NRTGS/KKBKR5202
4120400770245/TUB
E SALES
CORPORATIO",-,,,"11,60,146.00","9,45,52,098.7
8 Dr.",
S42432472,04-12-2024,"NRTGS/KARBR5202
4120400962753/TUB
E SYNDICATE",-,,,"19,27,514.00","9,26,24,584.7
8 Dr.",
S43008070,04-12-2024,"IMPS-
IN/433912715521/941
7495533/GAVISH15",-,,,"4,80,000.00","9,21,44,584.7
8 Dr.",
M470355,04-12-2024,"PRABH DAYAL
-485100","BARAN,GOVT HIGH
SCHOOL (PB)",,,"7,34,758.00","9,14,09,826.7
8 Dr.",
S44082851,04-12-2024,"NRTGS/HDFCR5202
4120467468901/BOM
BAY HARDWARE
PRIVA",-,,,"2,25,490.00","9,11,84,336.7
8 Dr.",
S44990060,04-12-2024,"NRTGS/FDRLR52024
120400001306/ALLIE
D TUBES PVT LTD",-,,,"48,89,254.00","8,62,95,082.7
8 Dr.",
S45686368,04-12-2024,"NRTGS/IDFBR52024
120400375410/GANE
SH TUBE
CORPORATI",-,,,"22,10,465.00","8,40,84,617.7
8 Dr.",
S46329358,04-12-2024,"NRTGS/KKBKR2202
4120414968146/AJA
Y PIPE COMPANY",-,,,"15,00,000.00","8,25,84,617.7
8 Dr.",
S46678107,04-12-2024,"NRTGS/UBINR22024
120401516670/GARG
ENTERPRISES",-,,,"2,85,500.00","8,22,99,117.7
8 Dr.",
S46786816,04-12-2024,"NRTGS/HDFCR5202
4120467503294/BOM
BAY HARDWARE
PRIVA",-,,,"19,50,732.00","8,03,48,385.7
8 Dr.",
S46824996,04-12-2024,"NRTGS/HDFCR5202
4120467541745/BOM
BAY HARDWARE
PRIVA",-,,,"13,23,744.00","7,90,24,641.7
8 Dr.",
S46992976,04-12-2024,"NRTGS/HDFCR5202
4120467469746/SHIB
DASS   SONS PRIV",-,,,"25,03,524.00","7,65,21,117.7
8 Dr.",
S47019409,04-12-2024,"NRTGS/HDFCR5202
4120467592052/VOR
A AND CO",-,,,"24,25,427.00","7,40,95,690.7
8 Dr.",
M729710,04-12-2024,"MS PRABH DAYAL
OM PARKASH
-351300","JALLANDHAR,OLD
RAILWAY ROAD",,,"16,70,020.00","7,24,25,670.7
8 Dr.",
S47294107,04-12-2024,"IMPS-
IN/433970080884/932
4143357/VIKRAM A",-,,,"1,96,699.00","7,22,28,971.7
8 Dr.",
S47674993,04-12-2024,"BY INST 160040 :
CTO411-1 DAY  LAT",-,,,"2,00,000.00","7,20,28,971.7
8 Dr.",
S48046941,04-12-2024,"NRTGS/HDFCR5202
4120467545157/RAM
LAL HARBANS LAL",-,,,"9,00,000.00","7,11,28,971.7
8 Dr.",
S51099085,04-12-2024,"NRTGS/UTIBR52024
120400358739/VIJAY
SALES CORPORATI",-,,,"34,89,218.00","6,76,39,753.7
8 Dr.",
S51277085,04-12-2024,"NEFT_IN:N33924343
3361550/0030/ E
AND C
INFRASTRUCTURE
PVT LTD",-,,,"15,25,000.00","6,61,14,753.7
8 Dr.",
S51635210,04-12-2024,"NEFT_IN:SBIN32433
9054551/0030/ SHIV
SHAKTI STEEL
INDUSTRIES",-,,,"80,312.00","6,60,34,441.7
8 Dr.",
M1044572,04-12-2024,"BHAUKA TRADING
CO                          -
329200","DABRA CHOWK,
HISAR",,,"1,50,000.00","6,58,84,441.7
8 Dr.",
S53394986,04-12-2024,"NRTGS/HDFCR5202
4120467662226/VINA
YAK PIPES AND TUB",-,,,"17,41,644.00","6,41,42,797.7
8 Dr.",
S53424937,04-12-2024,"NRTGS/HDFCR5202
4120467646154/JIND
AL PIPE INDUSTRIE",-,,,"15,64,978.00","6,25,77,819.7
8 Dr.",
S53444162,04-12-2024,"NRTGS/HDFCR5202
4120467549750/MAH
AVEER PIPES AND
CO",-,,,"13,53,654.00","6,12,24,165.7
8 Dr.",
S54438687,04-12-2024,"NRTGS/INDBR32024
120400605639/SHRE
E MARUTINANDAN
TU",-,,,"18,31,270.00","5,93,92,895.7
8 Dr.",
S54679185,04-12-2024,"NEFT_IN:N33924343
3516942/0032/ SUNIL
KUMAR GOYAL",-,,,"77,194.00","5,93,15,701.7
8 Dr.",
S54751216,04-12-2024,"NRTGS/ICICR420241
20400539850/VEDAN
T ENGITECH AND I",-,,,"16,95,846.00","5,76,19,855.7
8 Dr.",
S54758415,04-12-2024,"NRTGS/ICICR420241
20400539991/VEDAN
T ENGITECH AND I",-,,,"7,66,021.00","5,68,53,834.7
8 Dr.",
S56253434,04-12-2024,"NRTGS/YESBR1202
4120400022520/DEL
HI TUBES AND
PIPES",-,,,"19,75,000.00","5,48,78,834.7
8 Dr.",
M1289202,04-12-2024,"SATYA NARAIN
AGGARWAL
-333500","NARNAUL,COURT
ROAD",,,"3,00,000.00","5,45,78,834.7
8 Dr.",
S56693837,04-12-2024,"NRTGS/HDFCR5202
4120467653130/JIND
AL PIPE INDUSTRIE",-,,,"16,59,334.00","5,29,19,500.7
8 Dr.",
S57019845,04-12-2024,"NRTGS/ICICR420241
20400544938/TUBES
PIPES INDIA PV",-,,,"12,66,644.00","5,16,52,856.7
8 Dr.",
S57193033,04-12-2024,"NRTGS/HDFCR5202
4120467720062/SHRI
ANAND PIPE CENTR",-,,,"4,00,000.00","5,12,52,856.7
8 Dr.",
S57413628,04-12-2024,"NRTGS/IDFBR52024
120400381215/BIND
AL PIPES PRIVATE",-,,,"15,00,000.00","4,97,52,856.7
8 Dr.",
S57475410,04-12-2024,"NRTGS/HDFCR5202
4120467660004/MAD
RAS STEELS AND
TUB",-,,,"81,09,945.00","4,16,42,911.7
8 Dr.",
S57746312,04-12-2024,"NRTGS/KARBR5202
4120400023875/SRE
E VENKATESWARA
STR",-,,,"5,29,766.00","4,11,13,145.7
8 Dr.",
S57772812,04-12-2024,"NRTGS/DBSSR5202
4120405592677/NAN
DKISHORE &
COMPANY",-,,,"17,30,429.00","3,93,82,716.7
8 Dr.",
S58167058,04-12-2024,"NEFT_IN:384921646
01DC/0034/ RAJESH
SALES CORPORA",-,,,"3,048.00","3,93,79,668.7
8 Dr.",
S58382116,04-12-2024,"NRTGS/HDFCR5202
4120467656036/BHA
UKA TRADING
COMPAN",-,,,"2,50,000.00","3,91,29,668.7
8 Dr.",
S60098676,04-12-2024,"NEFT_IN:0811OP414
5496146/0035/
NANDKISHORE
COMPANY",-,,,"19,65,549.00","3,71,64,119.7
8 Dr.",
S60659066,04-12-2024,"NRTGS/HDFCR5202
4120467746494/SHR
EE HANUMAN
STEELS",-,,,"18,75,113.00","3,52,89,006.7
8 Dr.",
S60816151,04-12-2024,"NEFT_IN:N33924343
3770775/0035/ SHAM
PIPE AND IRON
STORE",-,,,"6,00,000.00","3,46,89,006.7
8 Dr.",
S61205976,04-12-2024,"From:XXXX1464:RAJ
ESH STEELS",-,,,"2,33,293.00","3,44,55,713.7
8 Dr.",
S61718772,04-12-2024,"NEFT_IN:JAKAH2433
9041109/0035/
MODERN TUBE
COMPANY",-,,,"11,46,327.00","3,33,09,386.7
8 Dr.",
S62753586,04-12-2024,"NRTGS/ICICR420241
20400554756/INFRA
CORPORATION",-,,,"16,77,945.00","3,16,31,441.7
8 Dr.",
S63482095,04-12-2024,"NRTGS/KKBKR2202
4120414975327/PIPE
TRADERS",-,,,"11,00,000.00","3,05,31,441.7
8 Dr.",
