Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/01/25,CORRESPONDENT BANK CHARGES,E33EBRL2425440001,31/12/24,"21,348.47",,"62,119.14"
03/01/25,CORRESPONDENT BANK CHARGES,E33EBRL2426500002,02/01/25,"22,242.33",,"39,876.81"
03/01/25,CORRESPONDENT BANK CHARGES,E33EBRL2425040003,02/01/25,"20,629.63",,"19,247.18"
06/01/25,NEFT CR-PUNB202000-TEXTILE DCM NOUVELLE LTD UNI T DCM TEXTILES-DCM NOUVELLE LTD UNIT DCM,PUNBZZS006921805,06/01/25,,"50,000.00","69,247.18"
13/01/25,CORRESPONDENT BANK CHARGES,E33EBRL2426500005,10/01/25,"21,808.31",,"47,438.87"
